Family,Outcome,Label,Direction,Threshold,Group,ConsensusRank
Benchmark,A1,Up $5k,Up,5000,Demographics,1.8333333333333333
Benchmark,A1,Up $5k,Up,5000,Education,4.0
Benchmark,A1,Up $5k,Up,5000,Family / employment,7.333333333333333
Benchmark,A1,Up $5k,Up,5000,Geography,6.833333333333333
Benchmark,A1,Up $5k,Up,5000,Income,2.5
Benchmark,A1,Up $5k,Up,5000,Industry,6.833333333333333
Benchmark,A1,Up $5k,Up,5000,Occupation,5.0
Benchmark,A1,Up $5k,Up,5000,Wealth,1.6666666666666667
Benchmark,A2,Up $10k,Up,10000,Demographics,2.0
Benchmark,A2,Up $10k,Up,10000,Education,4.0
Benchmark,A2,Up $10k,Up,10000,Family / employment,7.166666666666667
Benchmark,A2,Up $10k,Up,10000,Geography,7.0
Benchmark,A2,Up $10k,Up,10000,Income,2.3333333333333335
Benchmark,A2,Up $10k,Up,10000,Industry,6.833333333333333
Benchmark,A2,Up $10k,Up,10000,Occupation,5.0
Benchmark,A2,Up $10k,Up,10000,Wealth,1.6666666666666667
Benchmark,A3,Up $15k,Up,15000,Demographics,2.0
Benchmark,A3,Up $15k,Up,15000,Education,4.0
Benchmark,A3,Up $15k,Up,15000,Family / employment,7.166666666666667
Benchmark,A3,Up $15k,Up,15000,Geography,6.5
Benchmark,A3,Up $15k,Up,15000,Income,2.5
Benchmark,A3,Up $15k,Up,15000,Industry,7.0
Benchmark,A3,Up $15k,Up,15000,Occupation,5.333333333333333
Benchmark,A3,Up $15k,Up,15000,Wealth,1.5
Benchmark,A4,Up $20k,Up,20000,Demographics,1.5
Benchmark,A4,Up $20k,Up,20000,Education,4.0
Benchmark,A4,Up $20k,Up,20000,Family / employment,7.666666666666667
Benchmark,A4,Up $20k,Up,20000,Geography,5.833333333333333
Benchmark,A4,Up $20k,Up,20000,Income,2.1666666666666665
Benchmark,A4,Up $20k,Up,20000,Industry,7.166666666666667
Benchmark,A4,Up $20k,Up,20000,Occupation,5.333333333333333
Benchmark,A4,Up $20k,Up,20000,Wealth,2.3333333333333335
Benchmark,A5,Down $5k,Down,5000,Demographics,2.0
Benchmark,A5,Down $5k,Down,5000,Education,4.0
Benchmark,A5,Down $5k,Down,5000,Family / employment,7.666666666666667
Benchmark,A5,Down $5k,Down,5000,Geography,6.666666666666667
Benchmark,A5,Down $5k,Down,5000,Income,1.1666666666666667
Benchmark,A5,Down $5k,Down,5000,Industry,6.666666666666667
Benchmark,A5,Down $5k,Down,5000,Occupation,5.0
Benchmark,A5,Down $5k,Down,5000,Wealth,2.8333333333333335
