Method,Group,Value,Family,Outcome,Label,Direction,Threshold,Model,Fold
Impurity,Income,0.41243001014196434,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Wealth,0.15470415771138601,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Education,0.060765714531360024,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Demographics,0.1840635438756813,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Family / employment,0.03552564976843901,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Occupation,0.045238855789473335,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Industry,0.04830048702025623,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Geography,0.058971581161439746,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Income,0.14995744664169913,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Wealth,-0.0031284582379257297,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Education,0.0022871434682321,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Demographics,0.019835824038499573,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Family / employment,0.006116298096132589,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Occupation,-0.0014463314015440876,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Industry,-0.000701660245396829,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Permutation,Geography,-0.006179682047086582,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Income,0.4569945444702241,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Wealth,0.08311199474151362,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Education,0.07292900024214968,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Demographics,0.18051438290237787,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Family / employment,0.06044204288986413,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Occupation,0.03569512757665336,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Industry,0.05900631548810306,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
SHAP,Geography,0.051306591689114195,Relative,DV1,Up 10 pp,Up,10,Random Forest,1
Impurity,Income,0.34017539763873905,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Wealth,0.09704863781425709,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Education,0.04440684887972722,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Demographics,0.14395275890654907,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Family / employment,0.15372466703312937,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Occupation,0.08139098001409778,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Industry,0.09027562288057726,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Geography,0.04902508683292342,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Income,0.1403755388313681,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Wealth,-0.005141499061361005,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Education,0.005330355590210284,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Demographics,0.018764436803229773,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Family / employment,0.005433171353553884,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Occupation,0.0024727309594127613,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Industry,0.0013851394236209624,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Permutation,Geography,0.0013447162609583174,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Income,0.3359278755209128,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Wealth,0.05171873668264152,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Education,0.03290212307643239,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Demographics,0.15856157229353054,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Family / employment,0.2000074230479005,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Occupation,0.0710211910239475,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Industry,0.09382807836676188,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
SHAP,Geography,0.05603299998787305,Relative,DV1,Up 10 pp,Up,10,Random Forest,2
Impurity,Income,0.31001760885814106,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Wealth,0.12364601577659957,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Education,0.06922299739730431,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Demographics,0.17798995860349015,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Family / employment,0.06482968801951179,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Occupation,0.0852272387319996,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Industry,0.09384303336196292,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Impurity,Geography,0.07522345925099069,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Income,0.11261409614285275,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Wealth,-0.011849492014781804,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Education,0.011742942194005868,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Demographics,-0.0016824661766778437,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Family / employment,0.010959251055799002,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Occupation,-0.0023635835290467867,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Industry,-0.003553701735241571,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
Permutation,Geography,-0.0026585521704394323,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Income,0.3026297994959832,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Wealth,0.06463910865422061,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Education,0.049421366703898656,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Demographics,0.1601760254059204,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Family / employment,0.1422600501863597,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Occupation,0.09278596264408144,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
SHAP,Industry,0.10728643756033347,Relative,DV1,Up 10 pp,Up,10,Random Forest,3
