Family,Outcome,Label,Direction,Threshold,Model,Method,Group,Value,FoldSD,Rank
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Demographics,0.24904657950300205,0.02824432102942862,3.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Education,0.0844895234260378,0.02910671656352489,4.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Family / employment,0.014763131175956007,0.007777942973231905,8.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Geography,0.020362282501746543,0.010530841535953569,7.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Income,0.25245495842045873,0.04535103998447925,2.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Industry,0.0331020758130934,0.019517316873477245,6.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Occupation,0.06196467533920741,0.021509625959611027,5.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Impurity,Wealth,0.2838167738204981,0.027865187292954098,1.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Demographics,0.04352231497999974,0.014894501712840095,1.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Education,0.010093301918392082,0.00747252779656522,4.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Family / employment,-0.000865211537059698,0.002064282831809582,6.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Geography,-0.0011349418684117962,0.0032987617406274278,7.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Income,0.030602318155603946,0.006568389737229876,3.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Industry,-0.00470870428118658,0.008314266164911972,8.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Occupation,0.0003528592545201648,0.002032754827910643,5.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,Permutation,Wealth,0.036276760823121604,0.00463276733167232,2.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Demographics,0.2599697963163635,0.03197821131861356,1.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Education,0.13305870369297312,0.030165134682623815,4.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Family / employment,0.014973158727222807,0.006870164384977321,8.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Geography,0.039265381134312285,0.0162390663410078,7.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Income,0.20228236269606387,0.021273615500560002,3.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Industry,0.05697749487681377,0.028800417217646607,6.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Occupation,0.08450213039811277,0.028596236083885843,5.0
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,SHAP,Wealth,0.2089709721581378,0.024329301451679962,2.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Demographics,0.23605162432179996,0.01922200161884797,3.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Education,0.09929060367327947,0.0058324083341753374,4.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Family / employment,0.03181901837826615,0.0072882351146996436,8.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Geography,0.03236842267132365,0.005818934117963649,7.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Income,0.23856767484866329,0.008789069667750324,2.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Industry,0.04551539442281607,0.0043132071010910135,6.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Occupation,0.0721394363033114,0.010162103565081718,5.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Impurity,Wealth,0.24424782538054016,0.015275965750314096,1.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Demographics,0.030134108651111807,0.006518687616485782,2.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Education,0.008044304641993497,0.006520076919237564,4.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Family / employment,-0.0018712262939256663,0.002406898908250358,8.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Geography,-0.0011867010895532063,0.003904219717072341,6.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Income,0.028484135185635962,0.002913151700983332,3.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Industry,-0.0014441502174556053,0.0018162578364466352,7.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Occupation,-0.0006154229760089702,0.0032129075900367053,5.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,Permutation,Wealth,0.035725154338425845,0.0065885893436603135,1.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Demographics,0.24746889087342266,0.028650804204575497,1.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Education,0.12631254775498807,0.012121069725676907,4.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Family / employment,0.036344746216566484,0.009374141209997957,6.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Geography,0.033703621147297136,0.013424741634495294,7.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Income,0.22717703050493904,0.011382806308743096,2.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Industry,0.032297463689951886,0.006402965020658725,8.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Occupation,0.07329281165972117,0.011980415871322645,5.0
Benchmark,A1,Up $5k,Up,5000,Random Forest,SHAP,Wealth,0.22340288815311365,0.012261590198602963,3.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Demographics,0.2408357566704474,0.032400878131957564,3.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Education,0.08667064966791432,0.02785975106251594,4.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Family / employment,0.020541917655873865,0.015293915293923864,7.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Geography,0.016696291407287935,0.008353745119415893,8.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Income,0.24916453970880487,0.05208825042263666,2.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Industry,0.029164807558290075,0.006276684771521921,6.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Occupation,0.05214883442094208,0.010040066433309233,5.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Wealth,0.30477720291043936,0.06064785428029853,1.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Demographics,0.04414062638503165,0.009319643152637376,1.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Education,0.01363060531090483,0.007197323880435019,4.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Family / employment,-0.001732753987402049,0.005997275688017424,7.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Geography,0.00043268353217599365,0.001874303793677492,6.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Income,0.030735737955128618,0.01002074528544002,3.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Industry,-0.0036203068198014674,0.0033285189861492342,8.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Occupation,0.0024590827639425173,0.005456301255735924,5.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Wealth,0.03404463807195896,0.01015582177466113,2.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Demographics,0.25634554250674224,0.02233187671853001,1.0
