Family,Outcome,Label,Direction,Threshold,Model,N,EventRate,AUC,Brier,LogLoss
Relative,DV1,Up 10 pp,Up,10,Random Forest,2521,0.40733825760815634,0.6893678393992635,0.2172459295034359,0.6258341505855612
Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2521,0.40733825760815634,0.7000029795581462,0.21399317794676492,0.618079104578547
Relative,DV2,Up 20 pp,Up,20,Random Forest,2319,0.30859548107845863,0.7161525948499359,0.18557732745916397,0.5465674442953804
Relative,DV2,Up 20 pp,Up,20,Gradient Boosting,2319,0.30859548107845863,0.7155704544953614,0.1887846007420425,0.5553558508092842
Relative,DV3,Up 30 pp,Up,30,Random Forest,2082,0.23136720317186685,0.7094618640395386,0.15891366170861468,0.4886147431131858
Relative,DV3,Up 30 pp,Up,30,Gradient Boosting,2082,0.23136720317186685,0.7155468038012962,0.15783723541284278,0.48792086614623514
Relative,DV4,Up 40 pp,Up,40,Random Forest,1820,0.17108511971315032,0.7076741647674911,0.13133014385198893,0.42005456706156813
Relative,DV4,Up 40 pp,Up,40,Gradient Boosting,1820,0.17108511971315032,0.7126120931415966,0.1323227959214562,0.42490971731358246
Relative,DV5,Down 10 pp,Down,10,Random Forest,2362,0.38776360651002256,0.6926732513353125,0.21205391722800182,0.607703159776983
Relative,DV5,Down 10 pp,Down,10,Gradient Boosting,2362,0.38776360651002256,0.6838193324577241,0.21551005240656992,0.6173146218622941
Relative,DV6,Down 20 pp,Down,20,Random Forest,2041,0.3025609439707842,0.6935730933546268,0.19118648508860944,0.5588686828232938
Relative,DV6,Down 20 pp,Down,20,Gradient Boosting,2041,0.3025609439707842,0.6863693083258591,0.1940186506901662,0.5668702142512048
Relative,DV7,Down 30 pp,Down,30,Random Forest,1751,0.23911809647225862,0.6676165078519929,0.17129911039427875,0.5127279389111897
Relative,DV7,Down 30 pp,Down,30,Gradient Boosting,1751,0.23911809647225862,0.6599402599849334,0.17560476670056005,0.5219833172093774
Relative,DV8,Down 40 pp,Down,40,Random Forest,1446,0.18540267191162332,0.6492505088146471,0.14649101865127112,0.4613169417402283
Relative,DV8,Down 40 pp,Down,40,Gradient Boosting,1446,0.18540267191162332,0.655359010180812,0.15066981747264105,0.47074654859235127
Parent-child absolute,I1,Up $5k,Up,5000,Random Forest,2707,0.4213371832831099,0.7240234957460453,0.20706317411240185,0.601341786976028
Parent-child absolute,I1,Up $5k,Up,5000,Gradient Boosting,2707,0.4213371832831099,0.7158228326731403,0.20948750737291508,0.6072163918401028
Parent-child absolute,I2,Up $10k,Up,10000,Random Forest,2707,0.3676062168763577,0.6985562502083198,0.20412137028348604,0.595709381281384
Parent-child absolute,I2,Up $10k,Up,10000,Gradient Boosting,2707,0.3676062168763577,0.7023127256617274,0.20456282823191593,0.5970676879436743
Parent-child absolute,I3,Up $15k,Up,15000,Random Forest,2707,0.31491626071813905,0.6943773232294705,0.19215788064819633,0.5687665694899416
Parent-child absolute,I3,Up $15k,Up,15000,Gradient Boosting,2707,0.31491626071813905,0.7049424146076694,0.18896412220477052,0.5612107463056956
Parent-child absolute,I4,Up $20k,Up,20000,Random Forest,2707,0.26354302809377733,0.6926584125050594,0.17397277223417817,0.5289174913893723
Parent-child absolute,I4,Up $20k,Up,20000,Gradient Boosting,2707,0.26354302809377733,0.6968774218453146,0.17269290581453473,0.526299655247906
Parent-child absolute,I5,Down $5k,Down,5000,Random Forest,2707,0.44293149635675866,0.7838295927784915,0.18711354679285605,0.5430370426254416
Parent-child absolute,I5,Down $5k,Down,5000,Gradient Boosting,2707,0.44293149635675866,0.7796552598016383,0.1898613519024986,0.5532268598496207
Parent-child absolute,I6,Down $10k,Down,10000,Random Forest,2707,0.37461375874081565,0.8068934868381186,0.1720212173088667,0.5046616201193547
Parent-child absolute,I6,Down $10k,Down,10000,Gradient Boosting,2707,0.37461375874081565,0.8097641973479517,0.17224497082686918,0.5076690072033314
Parent-child absolute,I7,Down $15k,Down,15000,Random Forest,2707,0.32681214753673987,0.8323415342653528,0.15478302988605913,0.45773365935042265
Parent-child absolute,I7,Down $15k,Down,15000,Gradient Boosting,2707,0.32681214753673987,0.8256273172407169,0.15874322814942848,0.4686465106703235
Parent-child absolute,I8,Down $20k,Down,20000,Random Forest,2707,0.28174434558062916,0.8435377038197819,0.1418451232874102,0.4188098763747274
Parent-child absolute,I8,Down $20k,Down,20000,Gradient Boosting,2707,0.28174434558062916,0.8414225129928484,0.1444960306341063,0.4286514496653617
Benchmark,A1,Up $5k,Up,5000,Random Forest,2707,0.39739387688924743,0.7310323102969444,0.20403568759298357,0.594736939720859
Benchmark,A1,Up $5k,Up,5000,Gradient Boosting,2707,0.39739387688924743,0.7244325613493565,0.20528442405317832,0.5962265475264227
Benchmark,A2,Up $10k,Up,10000,Random Forest,2707,0.3325088792258486,0.7382290900823363,0.1889173602099522,0.5575087079588232
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,2707,0.3325088792258486,0.731739071886037,0.1906065364120239,0.5607054903521039
Benchmark,A3,Up $15k,Up,15000,Random Forest,2707,0.29247416993173586,0.7489923769361355,0.17563545518911816,0.5233722516749544
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,2707,0.29247416993173586,0.7435881869520736,0.1767180355959618,0.524788642455929
Benchmark,A4,Up $20k,Up,20000,Random Forest,2707,0.26237003922229396,0.7528271854869999,0.16535187928384296,0.4972763962147428
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,2707,0.26237003922229396,0.7492221453551015,0.16630898105528064,0.49813774513564885
Benchmark,A5,Down $5k,Down,5000,Random Forest,2707,0.49092205232271546,0.7152865237139909,0.21541085851136824,0.6216236442715203
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,2707,0.49092205232271546,0.7150470602452915,0.2148308546461201,0.6203793023629794
Benchmark,A6,Down $10k,Down,10000,Random Forest,2707,0.42359064405850716,0.7125650025552686,0.21183425215209714,0.6138960185936145
Benchmark,A6,Down $10k,Down,10000,Gradient Boosting,2707,0.42359064405850716,0.7076301237009699,0.2133631402414488,0.6176247432613338
Benchmark,A7,Down $15k,Down,15000,Random Forest,2707,0.3467848339458253,0.7160874430895979,0.19701314603134962,0.5803957122339973
Benchmark,A7,Down $15k,Down,15000,Gradient Boosting,2707,0.3467848339458253,0.7126130899286798,0.19711749052729413,0.5822777846324588
Benchmark,A8,Down $20k,Down,20000,Random Forest,2707,0.2705203906265682,0.7092501251237155,0.17546012282320322,0.5299798015470574
Benchmark,A8,Down $20k,Down,20000,Gradient Boosting,2707,0.2705203906265682,0.7010115315266033,0.17747600657813692,0.5345086048865983
