Family,Outcome,Label,Model,Fold,InnerAUC,BestParameters
Relative,DV1,Up 10 pp,Random Forest,1,0.711588189753853,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV1,Up 10 pp,Random Forest,2,0.7141980400349519,"{""n_estimators"": 250, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""gini""}"
Relative,DV1,Up 10 pp,Random Forest,3,0.7261031123127482,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Relative,DV1,Up 10 pp,Random Forest,4,0.6956950203914506,"{""n_estimators"": 350, ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 10, ""criterion"": ""gini""}"
Relative,DV1,Up 10 pp,Random Forest,5,0.6824333991375596,"{""n_estimators"": 250, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""gini""}"
Relative,DV1,Up 10 pp,Gradient Boosting,1,0.7112095691146006,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV1,Up 10 pp,Gradient Boosting,2,0.70911527014088,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV1,Up 10 pp,Gradient Boosting,3,0.7212429690002343,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Relative,DV1,Up 10 pp,Gradient Boosting,4,0.6942543880551394,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""subsample"": 1.0}"
Relative,DV1,Up 10 pp,Gradient Boosting,5,0.6885874047828399,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Relative,DV2,Up 20 pp,Random Forest,1,0.7378602646958292,"{""n_estimators"": 250, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""gini""}"
Relative,DV2,Up 20 pp,Random Forest,2,0.745925976415733,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
