IncomeQuartile,WealthQuartile,N,Realized,Predicted
Q1,Q1,489,0.15941603593306272,0.20946586637625966
Q1,Q2,165,0.2271497501803805,0.28769898039497793
Q1,Q3,89,0.40678123984057063,0.39527505243960215
Q1,Q4,65,0.5231191781659565,0.5154341920342447
Q2,Q1,285,0.26314352081149267,0.2699403410630149
Q2,Q2,275,0.3388949862631677,0.3176180333869293
Q2,Q3,144,0.4213461929643244,0.4521794836073221
Q2,Q4,43,0.5980554134688403,0.5416740705592681
Q3,Q1,78,0.48134251982550935,0.3917101711843821
Q3,Q2,226,0.40471982908554466,0.43356867892270456
Q3,Q3,211,0.5413287357407713,0.5421733454929715
Q3,Q4,113,0.6543374341665196,0.6201503263189677
Q4,Q1,27,0.45587828334010855,0.5131116346737454
Q4,Q2,90,0.5042489952833669,0.5332295250145137
Q4,Q3,137,0.6818496423729657,0.6264314709091541
Q4,Q4,248,0.7152790972960662,0.6740835960593393
