Income decile,P10,Median,P90,N
D1,0.15017460798471252,0.20754532438858603,0.49671704141495654,345
D2,0.1803625800331222,0.27717827442033005,0.4820706570226846,321
D3,0.1883292690770227,0.28595554618785596,0.4963042054759858,290
D4,0.22611555075638962,0.3162950696503995,0.5161688004254634,305
D5,0.2496414390440305,0.36355646298808,0.5455608341596732,308
D6,0.33780373963264915,0.44769010867772807,0.606843926625117,250
D7,0.36690116763658703,0.5220670691932078,0.6535178482066302,262
D8,0.4717783084701387,0.5949150656605,0.691452368565722,237
D9,0.5184608349868177,0.6432776770206253,0.7152002564949587,203
D10,0.5852436981928251,0.664093977854527,0.7429575241005923,186
