Income Quintile,Opportunity Group,Realized Mobility,CI Lower,CI Upper,Mean Predicted Mobility,N
Q1,Low,0.1210881560085945,0.06337321714741997,0.1873786997528743,0.17171740114722248,317
Q1,Middle,0.2414789055867789,0.16239211512240345,0.32326198618876567,0.2510561345630613,229
Q1,High,0.4011141760665829,0.3018829329479387,0.5017972900048164,0.4473752313253393,120
Q2,Low,0.23619495864625364,0.12629549319247466,0.348705523329587,0.21555196925593545,217
Q2,Middle,0.23662526582028082,0.16305172397951553,0.32033018486012016,0.30619181660377537,248
Q2,High,0.47285307677748134,0.3840730117791642,0.5763139897618909,0.4691185511654333,130
Q3,Low,0.31704836922703333,0.24176465853712942,0.39325668157500054,0.2968286690814239,249
Q3,Middle,0.39243006838121985,0.29515513245682823,0.4939183867385607,0.40924508070616233,180
Q3,High,0.5750407824579971,0.4715558453814318,0.674432968524124,0.5547890685375643,129
Q4,Low,0.46993889817856915,0.3859376504405881,0.5616384531740568,0.43688242126465526,223
Q4,Middle,0.5724069952734735,0.47292797777007584,0.6706305207196678,0.5641934706826535,141
Q4,High,0.676042114348273,0.5793926334962642,0.7675351600187366,0.6574287472968013,135
Q5,Low,0.6336128499883156,0.5422628583908754,0.7207875315597334,0.5644856984398805,159
Q5,Middle,0.7046537558582399,0.6194604291051155,0.7817052596500379,0.6569967373132366,121
Q5,High,0.6918151846042898,0.5933706893698275,0.7851963940751844,0.7183141002045715,109
