ID68,Wealth,weight1991,age2017,selfemployed91,Child Wage,Wage,Age,Self-employed,Wage Percentile,wage0919_p,Female,Occupation = Technical,Occupation = Manager,Occupation = Sales,Occupation = Clerical,Occupation = Craftsman,Occupation = Operatives,Occupation = Transport,Occupation = Laborers,Occupation = Farmers,Occupation = Farm Laborers,Occupation = Service,Occupation = Private,Industry = Agriculture,Industry = Mining,Industry = Construction,Industry = Manufacturing,Industry = Transportation,Industry = Retail Trade,Industry = Finance,Industry = Business,Industry = Personal,Industry = Entertainment,Industry = Professional,Industry = Public Admin,African-American,Northeast,Northcentral,South,West,Some High School,High School,Some College,College,Married,cfemale,coccTechnical,coccManager,coccSales,coccClerical,coccCraftsman,coccOperatives,coccTransport,coccLaborers,coccFarmers,coccFarmLaborers,coccService,coccPrivate,cindAgriculture,cindMining,cindConstruction,cindManufacturing,cindTransportation,cindRetailTrade,cindFinance,cindBusiness,cindPersonal,cindEntertainment,cindProfessional,cindPublic,cBlack,cNortheast,cNorthCentral,cSouth,cWest,csomeHS,cHS,csomeCollege,cCollege,cmarried,wealth_p,A1,A2,A3,A4,A5,A6,A7,A8,MedianMobility,OuterFold,Pred_Income,Pred_IncomeWealth,Pred_IncomeWealthEducation,Pred_ResourcesDemographics,Pred_Full,PredictionRevision,Pred_Full_GB,Pred_Income_Logit,Pred_Full_Logit,IncomeQuartile,WealthQuartile,IncomeQuintile,IncomeDecile,WealthDecile,High Wealth,HighAdvantage,LowAdvantage,OpportunityGroup,RevisionGroup,IncomeOnlyScoreQuintile,RevisionTercileWithinIncomeScore,MobilityBin,_g1_0,_g0_0,_g1_1,_g0_1,_g1_2,_g0_2,_g1_3,_g0_3,_g1_4,_g0_4,_g1_5,_g0_5,Disadvantaged,EducationGroup,Bottom10Predicted,RaceGroup,RegionGroup
4,26585.883736610413,15.759,43,0.0,355.13892,29669.74,39.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,0.07737444078271846,0.2243775319026306,0.3186695330031594,0.25297279775836407,0.27232432286272834,0.19494988208000988,0.2856973020362426,0.3976717051962079,0.24646573362160076,Q2,Q2,Q2,D4,D4,0.0,0.0,1.0,Middle,Higher than income-only,Q1,High revision,10–25%,0,1,0,1,0,1,0,1,0,0,0,1,False,Some high school,False,Other/non-Black,South
4,18772.227662801743,12.506,32,0.0,21068.701,31761.264,26.0,0.0,36.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,0.41380742568562107,0.3152307311077839,0.32848382970384926,0.24177293911773556,0.23257097183860231,-0.18123645384701875,0.20702598094834923,0.4016451772375527,0.17648855838633884,Q2,Q2,Q2,D4,D4,0.0,0.0,1.0,Low,Lower than income-only,Q3,Low revision,10–25%,0,1,0,1,0,1,0,1,0,0,0,1,False,Some high school,False,Other/non-Black,South
4,5187.4895095825195,14.835,42,0.0,23069.688,57143.01,36.0,0.0,64.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,0.5190776419202576,0.3679577244457425,0.2710361995289685,0.33693809271009983,0.31118329867694267,-0.20789434324331496,0.28038649703455354,0.45075051541513994,0.17993272298876428,Q3,Q1,Q4,D7,D3,0.0,0.0,1.0,Low,Lower than income-only,Q4,Low revision,25–50%,0,1,0,1,0,1,0,1,0,0,0,1,False,Some high school,False,Other/non-Black,Northcentral
4,152382.5043439865,12.506,30,0.0,17357.361,73552.695,31.0,0.0,76.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,0.3922539124147824,0.5650074811029936,0.714802364042931,0.4528215026895207,0.4718560174711845,0.07960210505640208,0.5199955732351192,0.4830802944435371,0.42289681283022357,Q4,Q3,Q4,D8,D7,1.0,0.0,0.0,Low,Middle 80%,Q3,High revision,50–75%,1,0,0,1,0,0,0,1,0,1,0,0,False,High school,False,Other/non-Black,South
4,5187.4895095825195,7.418,27,0.0,30258.598,25917.482,18.0,0.0,29.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,0.25444935516150935,0.37853497546762804,0.40924475783012954,0.197604571390727,0.19801831851167417,-0.056431036649835176,0.16896739929717747,0.3905771787241713,0.32857375251513493,Q2,Q1,Q2,D3,D3,0.0,0.0,1.0,Low,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,False,Some high school,True,Other/non-Black,Northcentral
5,86233.36728096008,40.16,50,0.0,16059.387,20509.46,47.0,0.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0.27175597860379264,0.3477596067427308,0.22653229026625218,0.3052578845040178,0.3568022707309259,0.08504629212713327,0.2947721716837962,0.34656306333796855,0.32053488430857546,Q1,Q3,Q2,D3,D6,1.0,0.0,0.0,Middle,Middle 80%,Q2,High revision,25–50%,1,0,0,1,0,0,0,1,0,1,0,0,False,Some high school,False,Other/non-Black,South
6,496053.68435382843,16.92,35,1.0,113086.07,87179.1,36.0,1.0,83.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.5290761491465767,0.7508260676062561,0.6894596007320887,0.713369539749127,0.6071238127986609,0.07804766365208415,0.654694266160032,0.5100464071591073,0.3758061096143135,Q4,Q4,Q5,D9,D9,1.0,0.0,0.0,Low,Middle 80%,Q4,High revision,75–90%,1,0,0,1,0,0,0,1,0,1,0,0,False,Omitted/other education,False,Other/non-Black,Northcentral
6,496053.68435382843,16.92,33,1.0,70825.22,87179.1,36.0,1.0,83.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.5290761491465767,0.7508260676062561,0.6894596007320887,0.713369539749127,0.6071238127986609,0.07804766365208415,0.654694266160032,0.5100464071591073,0.3758061096143135,Q4,Q4,Q5,D9,D9,1.0,0.0,0.0,Low,Middle 80%,Q4,High revision,75–90%,1,0,0,1,0,0,0,1,0,1,0,0,False,Omitted/other education,False,Other/non-Black,Northcentral
6,496053.68435382843,16.92,36,1.0,105125.266,87179.1,36.0,1.0,83.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.5290761491465767,0.7508260676062561,0.6894596007320887,0.713369539749127,0.6071238127986609,0.07804766365208415,0.654694266160032,0.5100464071591073,0.3758061096143135,Q4,Q4,Q5,D9,D9,1.0,0.0,0.0,Low,Middle 80%,Q4,High revision,75–90%,1,0,0,1,0,0,0,1,0,1,0,0,False,Omitted/other education,False,Other/non-Black,Northcentral
6,188046.49472236633,19.932,43,1.0,110211.43,21419.205,46.0,1.0,25.0,92.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,71.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.09332894272444786,0.3489020672012121,0.27746574963088105,0.3461979088698648,0.4217664521906461,0.32843750946619826,0.3638615928142282,0.38213295816819864,0.24509390901312433,Q1,Q3,Q2,D3,D8,1.0,0.0,0.0,High,Higher than income-only,Q1,High revision,25–50%,1,0,0,1,0,0,0,1,0,1,0,0,False,Some high school,False,Other/non-Black,Northcentral
