Threshold,ParentRankBand,WealthQuartile,N,Families,WeightedRealizedMobility
10,0-20,1,331,148,0.6046102585697878
10,0-20,2,148,92,0.6361959004144698
10,0-20,3,91,68,0.6062518819632642
10,0-20,4,89,64,0.7187083207274618
10,20-40,1,151,100,0.4597455167051512
10,20-40,2,207,130,0.4193554050505385
10,20-40,3,149,94,0.5098290377028301
10,20-40,4,83,58,0.6323602245133645
10,40-60,1,65,39,0.24957546428359756
10,40-60,2,156,99,0.38800089893671974
10,40-60,3,197,131,0.3219616596980193
10,40-60,4,135,90,0.5070012107744792
20,0-20,1,331,148,0.44242888180032186
20,0-20,2,148,92,0.4582017086305581
20,0-20,3,91,68,0.47795769346582356
20,0-20,4,89,64,0.6427604302046626
20,20-40,1,151,100,0.34479247965657345
20,20-40,2,207,130,0.3177962698646014
20,20-40,3,149,94,0.34856219776123265
20,20-40,4,83,58,0.5682807023972636
20,40-60,1,65,39,0.11851568398566241
20,40-60,2,156,99,0.2953726060750655
20,40-60,3,197,131,0.20633329029806313
20,40-60,4,135,90,0.3330363388991772
30,0-20,1,331,148,0.34585463739478683
30,0-20,2,148,92,0.28296895705867425
30,0-20,3,91,68,0.36888813610358334
30,0-20,4,89,64,0.6073407718628424
30,20-40,1,151,100,0.20629794956290234
30,20-40,2,207,130,0.23242130082205817
30,20-40,3,149,94,0.22403464808275778
30,20-40,4,83,58,0.4743151145726992
30,40-60,1,65,39,0.03104071162235776
30,40-60,2,156,99,0.09085491651284978
30,40-60,3,197,131,0.10495636255322442
30,40-60,4,135,90,0.205396485659257
40,0-20,1,331,148,0.2175864281407401
40,0-20,2,148,92,0.21903515944399019
40,0-20,3,91,68,0.2616493526046372
40,0-20,4,89,64,0.5228812548204143
40,20-40,1,151,100,0.09991195824557329
40,20-40,2,207,130,0.12783571237263547
40,20-40,3,149,94,0.11795414772550766
40,20-40,4,83,58,0.38197675051086927
40,40-60,1,65,39,0.007100504804533191
40,40-60,2,156,99,0.027534197406077623
40,40-60,3,197,131,0.046309968776695486
40,40-60,4,135,90,0.07899415168035556
